	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	Control	HPA	QT_121004_21	QT_121004_23	QT_121004_25	QT_121004_27	QT_121004_31	QT_121004_33	QT_121004_35	QT_121004_37	QT_121004_41	QT_121004_43	QT_121004_26	QT_121004_34	QT_121004_42	QT_121004_48	QT_121004_56	QT_121004_64	QT_121004_66		
1053	M302T74	Inf	4.252456163	0.005365607	302.12118	302.1209279	302.121854	73.67	73.23	74.35	4	0	4	0	0	0	0	0	0	0	0	0	0	5858.022926	3348.352045	1428.11172	2696.888121	1429.450165	2560.069494	1118.402698		
181	M307T689	Inf	16.62343722	3.02E-06	307.0486377	307.0472827	307.0493878	688.52	688.03	688.74	4	0	4	0	0	0	0	0	0	0	0	0	0	943.9592138	999.8998436	716.0207619	1168.430441	982.9297306	992.9670614	1199.092524		
811	M311T241	Inf	5.468142084	0.001560627	311.1318428	311.1310433	311.1324789	241.235	240.84	241.58	6	0	6	0	0	0	0	0	0	0	0	0	0	7036.802292	5950.802057	4739.946097	10627.79096	3455.367366	2815.734255	4057.669909		
584	M314T895	Inf	7.518651362	0.000286628	314.2381532	314.236817	314.2386109	894.96	894.3	895.32	4	0	4	0	0	0	0	0	0	0	0	0	0	956.6478946	941.4781232	1365.12723	1821.332856	1162.905861	1036.458404	2174.042135		
1008	M315T148	Inf	4.426331685	0.004440584	315.0408264	315.040254	315.041643	148.18	148.14	148.3	4	0	4	0	0	0	0	0	0	0	0	0	0	725.6048299	2502.852834	1263.689017	837.3488829	1902.17356	229.647748	1590.028694		
1101	M319T866	Inf	4.07614641	0.006530392	319.1168304	319.1144213	319.1169909	866.4	866.18	866.58	4	0	4	0	0	0	0	0	0	0	0	0	0	701.413572	637.797027	1357.312378	1399.825315	1761.011879	3842.347014	2765.3402		
778	M329T241	Inf	5.699464586	0.001260828	329.1428052	329.1423742	329.1429861	240.91	240.85	241.26	7	0	7	0	0	0	0	0	0	0	0	0	0	44076.5047	40022.50776	27997.61765	64178.47297	22465.90733	21447.33282	21196.71707		
1628	M330T835	Inf	2.822627586	0.030249457	330.1223534	330.1219957	330.1227307	835.29	835.07	835.56	4	0	4	0	0	0	0	0	0	0	0	0	0	2914.021776	4846.230559	1076.52177	1068.820703	0	540.7396918	1902.507605		
1110	M330T241	Inf	4.032052575	0.006864283	330.1445937	330.1439267	330.1464746	240.91	240.54	242.52	7	0	7	0	0	0	0	0	0	0	0	0	0	7271.462262	6166.326715	2219.236193	11129.11959	2455.90689	2731.653663	3400.585341		
1529	M333T455	Inf	3.004931994	0.023855911	333.2215227	333.2209758	333.2224598	454.89	454.38	455.13	4	0	4	0	0	0	0	0	0	0	0	0	0	2334.566821	1810.103876	1504.642338	0	1530.682331	0	340.8687789		
